bin	completeness	contamination	GC	lineage	N50	size	binner
bin.3	64.17	4.014	0.300	Clostridiales	4964	1130309	binsA
bin.40	64.15	4.166	0.600	Bacteroidetes	7036	1612197	binsAB
bin.225	64.13	0.0	0.522	Bacteria	14289	2029545	binsA
bin.397	64.03	1.842	0.495	Burkholderiales	5098	1034805	binsA
bin.227	63.93	24.31	0.410	Bacteria	2684	5179249	binsAB
bin.330	63.88	1.677	0.367	Clostridiales	3606	1653830	binsA
bin.416	63.66	35.86	0.409	Clostridiales	1591	7178583	binsAB
bin.107	63.56	4.341	0.390	Selenomonadales	3589	1020722	binsA
bin.433	63.34	5.357	0.610	Bacteria	6721	1689745	binsA
bin.488	62.99	0.0	0.484	Clostridiales	7717	1264503	binsB
bin.411	62.59	24.72	0.335	Bacteria	1887	2740826	binsAB
bin.485	62.11	17.09	0.536	Clostridiales	2189	4043792	binsB
bin.118	62.08	2.013	0.284	Clostridiales	47273	1302896	binsA
bin.336	62.06	1.724	0.584	Bacteria	5644	4700835	binsA
bin.487	62.02	20.00	0.590	Clostridiales	1611	2354481	binsB
bin.303	61.97	1.724	0.415	Bacteria	9119	5434296	binsB
bin.273	61.40	1.754	0.426	Bacteria	4798	1488758	binsA
bin.400	61.37	0.0	0.493	Bacteria	9485	1598113	binsA
bin.266	61.32	3.484	0.431	Bacteroidales	11996	3734975	binsB
bin.438	61.29	30.03	0.437	Bacteria	2234	2533747	binsAB
bin.469	61.15	0.0	0.439	Bacteria	23291	3778051	binsB
bin.76	61.05	1.510	0.553	Clostridiales	5314	2171544	binsA
bin.85	61.03	0.0	0.476	Bacteria	8179	2287144	binsA
bin.396	60.68	0.0	0.505	Bacteria	15173	2024124	binsA
bin.172	60.59	3.448	0.547	Bacteria	9334	1327475	binsA
bin.226	60.51	0.0	0.627	Bacteria	21906	1778756	binsA
bin.74	60.31	14.52	0.546	Clostridiales	3530	2490670	binsAB
bin.83	59.29	6.896	0.383	Bacteria	3357	1172775	binsA
bin.13	59.21	23.38	0.434	Bacteria	2927	4158801	binsAB
bin.466	59.20	50.0	0.426	Bacteria	5095	10386514	binsB
bin.100	59.18	18.51	0.400	Bacteria	1824	3215156	binsAB
bin.114	59.09	0.815	0.288	Clostridiales	55673	956176	binsA
bin.302	59.02	4.761	0.488	Bacteria	2332	2148461	binsAB
bin.216	59.02	0.0	0.570	Firmicutes	3997	1755904	binsA
bin.482	59.01	9.527	0.477	Clostridiales	1570	3837617	binsB
bin.31	58.96	1.724	0.474	Bacteria	13832	3252221	binsA
bin.292	58.94	0.0	0.582	Bacteria	9459	1268520	binsA
bin.53	58.92	14.28	0.594	Bacteria	4710	1688933	binsAB
bin.490	58.72	30.54	0.431	Bacteria	1873	6966853	binsB
bin.481	58.65	28.02	0.322	Lactobacillus	1581	2039831	binsB
bin.436	58.54	21.80	0.423	Burkholderiales	1955	5256001	binsAB
bin.347	58.40	1.754	0.496	Bacteria	8660	2831791	binsA
bin.391	58.39	6.25	0.612	Bacteria	5973	1501770	binsA
bin.169	58.21	1.754	0.409	Bacteria	10815	2440875	binsA
bin.374	58.10	5.172	0.452	Bacteria	13913	4541468	binsAB
bin.230	57.52	0.877	0.504	Bacteria	12034	1793934	binsA
bin.89	57.33	0.0	0.344	Bacteria	7873	1307577	binsA
bin.161	57.30	1.063	0.279	Clostridiales	5010	1358288	binsA
bin.404	57.21	30.69	0.455	Bacteria	4154	1960191	binsAB
bin.144	57.05	1.724	0.439	Bacteria	10745	3907856	binsA
bin.474	56.92	19.22	0.411	Bacteroidales	7358	3055937	binsB
bin.110	56.55	0.666	0.253	Bacteria	4271	395510	binsA
bin.168	56.34	25.0	0.388	Bacteria	1873	3178569	binsAB
bin.212	56.14	1.754	0.435	Bacteria	9160	1982607	binsA
bin.24	56.01	6.034	0.612	Bacteria	4782	2111452	binsA
bin.304	55.61	0.0	0.482	Bacteria	5374	1299728	binsA
bin.97	55.48	32.13	0.483	Clostridiales	1670	4326470	binsAB
bin.387	55.17	31.33	0.464	Bacteria	14742	2675935	binsAB
bin.381	54.93	1.724	0.598	Bacteria	9032	1596182	binsA
bin.393	54.74	0.0	0.298	Clostridiales	75696	954621	binsA
bin.342	54.61	16.45	0.391	Selenomonadales	2273	1638681	binsAB
bin.324	54.54	0.0	0.265	Bacteria	5023	855391	binsA
bin.237	54.49	4.383	0.584	Bacteria	4332	1522269	binsAB
bin.223	54.23	1.724	0.618	Bacteria	3906	1002557	binsAB
bin.262	53.92	0.0	0.387	Clostridiales	8498	1461237	binsAB
bin.126	53.85	0.0	0.501	Bacteria	5938	5327918	binsA
bin.8	53.75	0.781	0.481	Proteobacteria	44179	963641	binsA
bin.21	53.66	2.631	0.498	Bacteria	6827	2130835	binsA
bin.251	53.65	5.0	0.469	Clostridiales	4848	1087852	binsA
bin.311	53.62	0.0	0.596	Bacteria	10678	981727	binsA
bin.260	53.57	0.0	0.603	Bacteria	5163	1574175	binsA
bin.203	53.44	0.0	0.514	Bacteria	31420	1383278	binsA
bin.92	53.08	0.0	0.465	Bacteria	13245	2243183	binsA
bin.375	52.92	0.671	0.382	Clostridiales	3718	1471335	binsA
bin.5	52.58	27.58	0.599	Bacteria	10599	2128336	binsA
bin.38	52.58	1.724	0.462	Bacteria	17029	2674813	binsA
bin.135	52.58	1.724	0.447	Bacteria	17214	3803719	binsA
bin.489	52.50	8.692	0.417	Bacteroides	2872	3464932	binsB
bin.98	52.42	24.03	0.587	Bacteria	9031	1228907	binsAB
bin.366	52.34	0.671	0.575	Clostridiales	26503	1243966	binsA
bin.384	52.19	17.39	0.387	Bacteria	1595	2597767	binsAB
bin.158	52.04	0.632	0.494	Firmicutes	74110	717861	binsA
bin.467	52.03	5.172	0.449	Bacteria	1932	2777436	binsB
bin.133	51.88	2.684	0.466	Clostridiales	4037	1017227	binsAB
bin.379	51.83	10.51	0.544	Clostridiales	1773	1674246	binsAB
bin.478	51.77	11.02	0.393	Lachnospiraceae	2422	2367482	binsB
bin.473	51.24	11.69	0.525	Bacteria	4867	7088643	binsB
bin.96	51.03	0.312	0.290	Clostridiales	21220	812237	binsA
bin.28	50.64	0.087	0.494	Firmicutes	10857	798288	binsA
bin.261	50.55	17.51	0.449	Clostridiales	2396	2292050	binsAB
bin.421	50.45	22.14	0.415	Bacilli	1763	5986911	binsAB
bin.250	50.17	5.172	0.626	Bacteria	13081	2000724	binsA
